ID	ZT00	ZT06	ZT12	ZT18
FBgn0000008	2.994	1.162	6.112	3.549
FBgn0000008	3.43	1.131	2.896	5.902
FBgn0000014	4.469	6.507	4.243	4.337
FBgn0000015	1.375	1.336	0.456	0.214
FBgn0000015	1.009	0.205	0.442	1.151
FBgn0000015	0.228	1.369	1.268	0.413
FBgn0000015	1.467	0.244	0.491	1.519
FBgn0000017	2.85	2.785	5.601	3.303
FBgn0000017	5.437	2.647	2.781	3.253
FBgn0000017	5.468	2.789	3.259	2.737
FBgn0000018	6.133	7.764	7.27	6.455
FBgn0000022	0.092	0.148	0.143	0
FBgn0000024	2.233	2.246	1.474	1.318
FBgn0000024	0.901	1.557	1.839	0.973
FBgn0000028	0.042	0.264	0.227	0.099
FBgn0000028	0.252	0.094	0.26	0.098
FBgn0000028	0.096	0.041	0.256	0.221
FBgn0000028	0.26	0.098	0.224	0.042
FBgn0000032	13.235	9.28	12.47	15.075
FBgn0000032	9.157	13.076	15.046	12.641
FBgn0000038	0.445	0.31	0.83	0.386
FBgn0000042	606.994	772.939	940.803	778.337
FBgn0000044	2472.895	1424.085	1675.838	1493.011
FBgn0000045	3.068	5.321	4.106	3.889
FBgn0000045	4.002	4.269	5.559	3.163
FBgn0000047	1.207	1.22	1.074	1.303
FBgn0000052	169.648	73.194	223.136	163.183
FBgn0000052	72.742	168.578	221.728	162.174
FBgn0000052	162.752	169.27	222.626	72.917
FBgn0000055	11410.094	6261.699	11437.341	7830.453
FBgn0000056	6261.699	11410.094	11437.341	7830.453
FBgn0000056	13.431	16.036	16.371	12.9
FBgn0000057	14.306	16.652	18.378	12.782
FBgn0000061	0.094	0.3	0.776	0.803
FBgn0000063	2.207	1.639	2.737	2.447
FBgn0000064	695.435	721.221	722.107	739.164
FBgn0000064	622.702	642.041	661.026	641.197
FBgn0000064	814.621	730.791	751.302	724.076
FBgn0000064	701.477	746.396	723.739	725.802
FBgn0000064	868.127	844.029	943.175	838.092
FBgn0000071	0.258	0.028	0.475	0.326
FBgn0000075	0.464	0.189	0.699	0.202
FBgn0000077	12.726	15.649	18.905	16.729
FBgn0000079	18.368	18.486	18.856	26.693
FBgn0000083	333.441	294.83	404.285	265.545
FBgn0000083	242.472	269.122	304.189	369.336
FBgn0000083	366.096	264.202	295.811	239.439
FBgn0000084	52.189	52.369	47.552	45.707
FBgn0000092	1.631	1.832	1.342	1.238
FBgn0000094	26.119	15.226	8.377	33.293
FBgn0000097	10.95	6.534	7.124	7.293
FBgn0000097	11.344	7.57	7.222	7.997
FBgn0000108	1.043	0.821	0.998	0.841
FBgn0000108	0.604	0.826	0.953	0.674
FBgn0000108	0.68	0.828	0.947	0.598
FBgn0000109	24.759	20.45	22.179	22.091
FBgn0000114	12.799	7.281	5.463	6.409
FBgn0000114	9.155	6.394	11.615	8.003
FBgn0000114	6.291	5.349	11.987	7.952
FBgn0000114	8.406	5.908	6.795	13.245
FBgn0000116	483.884	522.29	707.451	441.355
FBgn0000116	714.728	784.567	1066.465	656.052
FBgn0000116	771.37	478.987	567.952	525.589
FBgn0000120	9.964	5.114	5.629	6.815
FBgn0000121	22.49	23.018	36.876	19.657
FBgn0000139	29.878	26.246	26.398	31.992
FBgn0000150	1240.364	1253.551	1286.802	1087.432
FBgn0000157	0.352	0.649	0.64	0.425
FBgn0000157	0.536	0.328	0.339	0.49
FBgn0000158	0.021	0.294	0.175	0.296
FBgn0000163	8.689	8.56	6.232	7.89
FBgn0000166	0.197	0.208	0.067	0.13
FBgn0000166	0.131	0.198	0.067	0.209
FBgn0000166	0.195	0.129	0.206	0.066
FBgn0000166	0.13	0.207	0.196	0.067
FBgn0000173	53.603	49.397	57.604	54.665
FBgn0000173	60.195	49.696	61.364	61.976
FBgn0000179	0.048	0.105	0.199	0.113
FBgn0000180	0.532	0.371	0.411	0.661
FBgn0000181	431.235	326.03	353.275	447.486
FBgn0000182	1.705	0.526	0.183	0.356
FBgn0000182	0.168	0.326	1.529	0.493
FBgn0000183	29.855	29.639	40.376	35.095
FBgn0000183	42.168	29.817	29.872	36.834
FBgn0000183	49.316	43.433	36.09	36.076
FBgn0000227	0.094	0.388	0.267	0.244
FBgn0000228	8.311	6.624	7.083	7.426
FBgn0000229	27.022	31.41	27.814	28.573
FBgn0000244	41.931	36.544	50.284	42.225
FBgn0000244	32.273	23.48	27.152	26.861
FBgn0000244	33.956	28.608	28.509	25.022
FBgn0000246	1.36	1.73	1.655	1.347
FBgn0000250	61.127	66.632	97.968	61.176
FBgn0000250	57.917	92.75	63.106	57.871
FBgn0000250	96.978	60.232	60.721	66.03
FBgn0000251	0.251	8.574	0.365	0.134
FBgn0000251	0.131	0.357	0.246	8.422
FBgn0000251	0.144	0.39	0.249	9.001
FBgn0000253	145.831	156.678	160.593	176.337
FBgn0000256	23.369	16.384	16.119	16.256
FBgn0000256	14.567	14.429	21.113	14.978
FBgn0000256	16.429	23.493	16.425	16.293
FBgn0000256	27.637	19.753	19.627	19.69
FBgn0000256	15.931	16.164	23.029	15.95
FBgn0000257	10.515	10.345	13.257	9.239
FBgn0000257	12.934	9	10.218	10.107
FBgn0000259	22.546	24.656	22.076	22.401
FBgn0000259	23.18	22.396	24.193	22.977
FBgn0000259	11.998	13.232	12.966	12.674
FBgn0000259	10.729	10.479	9.728	10.782
FBgn0000274	0.875	2.997	0.22	0.687
FBgn0000274	0.685	2.99	0.873	0.22
FBgn0000278	27.522	80.889	11.038	14.49
FBgn0000279	43.05	62.422	45.254	223.178
FBgn0000286	17.358	17.641	21.448	20.059
FBgn0000286	20.075	21.532	17.372	17.706
FBgn0000286	21.891	20.247	17.89	17.565
FBgn0000289	8.9	7.726	7.123	8.022
FBgn0000289	7.566	8.62	6.944	7.868
FBgn0000289	7.441	8.137	6.54	7.284
FBgn0000303	0.515	0.544	0.419	0.201
FBgn0000307	4.415	4.202	4.961	4.223
FBgn0000307	3.7	3.848	4.616	3.859
FBgn0000308	323.54	403.435	374.096	319.976
FBgn0000308	380.926	485.509	390.592	447.203
FBgn0000308	260.155	265.236	328.542	305.517
FBgn0000316	19.582	23.582	25.744	25.501
FBgn0000316	16.325	12.245	14.278	14.786
FBgn0000317	2.963	4.536	2.954	3.596
FBgn0000318	171.746	162.776	187.657	200.179
FBgn0000318	161.124	184.591	169.635	197.141
FBgn0000319	102.124	116.118	132.407	95.173
FBgn0000319	133.561	95.991	102.824	116.929
FBgn0000320	0.496	0.313	0.089	0.395
FBgn0000320	0.367	0.407	0.096	0.427
FBgn0000330	7.696	11.864	9.609	10.049
FBgn0000339	72.109	50.136	51.599	60.645
FBgn0000351	2.625	1.913	2.403	2.653
FBgn0000351	2.569	2.304	1.834	2.571
FBgn0000352	1.546	1.871	2.026	2.189
FBgn0000355	0.257	0.529	0.598	0.165
FBgn0000357	1.327	0.588	0.814	2.164
FBgn0000359	0.122	0.114	0.059	0.392
FBgn0000360	0.178	0.163	0.038	0.118
FBgn0000370	312.125	303.06	306.399	342.991
FBgn0000370	496.746	552.335	513.983	512.872
FBgn0000376	2.851	3.373	3.104	2.703
FBgn0000377	6.828	9.457	8.323	8.536
FBgn0000382	12.548	9.54	10.37	10.417
FBgn0000382	17.309	17.136	20.84	15.634
FBgn0000382	9.732	13.185	9.816	9.005
FBgn0000392	6.017	7.184	10.387	7.589
FBgn0000404	1.276	1.039	0.62	0.537
FBgn0000405	0.423	0.491	0.253	0.321
FBgn0000406	1228.532	1242.218	887.101	1533.046
FBgn0000411	0.336	0.184	0.058	0.491
FBgn0000412	30.087	35.091	23.621	30.755
FBgn0000414	7.232	8.626	9.577	8.007
FBgn0000414	8.485	7.191	7.948	9.529
FBgn0000414	7.21	7.954	8.503	9.489
FBgn0000414	8.835	8.202	9.827	7.424
FBgn0000416	611.868	666.883	575.389	566.117
FBgn0000416	676.949	584.324	575.543	620.099
FBgn0000422	7.178	7.349	13.217	6.353
FBgn0000422	9.313	8.119	16.138	9.224
FBgn0000427	0.245	0.166	0.15	0.007
FBgn0000427	0.107	0	0.249	0.196
FBgn0000427	0.232	0.151	0.007	0.168
FBgn0000442	6.168	0.393	0.83	0.682
FBgn0000448	0.313	0.245	0.217	0.353
FBgn0000451	0.282	0.813	11.357	1.377
FBgn0000451	0.314	6.705	0.689	0.541
FBgn0000454	119.292	122.16	106.334	163.917
FBgn0000455	54.669	42.047	49.905	57.82
FBgn0000459	1.28	1.471	1.379	1.294
FBgn0000463	1.121	1.239	0.836	0.88
FBgn0000464	1.915	1.485	1.791	1.44
FBgn0000464	1.685	1.672	1.956	2.201
FBgn0000477	76.116	66.571	89.668	78.911
FBgn0000479	8.458	5.995	5.984	5.919
FBgn0000479	4.39	4.645	5.521	5.329
FBgn0000479	4.252	5.301	4.433	6.595
FBgn0000479	4.964	4.444	5.722	5.582
