ID	CT22	CT28	CT34	CT40	CT46	CT52	CT58	CT64
ENSMUSG00000000001	303.8	306	283.7	266.1	330.1	302.9	260.5	302.5
ENSMUSG00000001175	6132.4	6152.9	5466.3	5978.4	6164.8	5672	5655.1	5542.2
ENSMUSG00000001986	141.8	136.6	124	130.5	119.5	100.5	99.6	106.6
ENSMUSG00000002771	52.6	63.1	66.7	57	54.9	53.3	55.8	58.5
ENSMUSG00000005034	1085.3	1202.9	1023.3	1076.8	1072.8	1091.2	972.3	993.1
ENSMUSG00000005469	643.5	711.4	656.2	638.2	625.3	682.5	614.7	660.5
ENSMUSG00000005580	632.3	690.3	604	716.6	577.5	663.2	594	568.8
ENSMUSG00000015968	68.4	66.7	72.3	71.3	66.2	66.1	65.1	71.6
ENSMUSG00000019370	2736.2	2885.6	2811.2	2733.7	2648.8	2818.4	2531.3	2592.5
ENSMUSG00000020431	91.9	97.6	105.2	89.2	86.1	95.5	98.8	107.1
ENSMUSG00000020524	51.3	57.4	56.8	68.6	46.2	43	48.1	53.1
ENSMUSG00000020654	107.4	102.7	95	100.6	113	113.1	108.5	100.9
ENSMUSG00000020734	65.7	66.4	72.1	72.3	68.2	61.5	66.6	72.2
ENSMUSG00000020866	80.9	85.2	75.5	72.5	72.5	91.1	80.9	82.1
ENSMUSG00000020893	297.3	292.8	669	357.6	251.5	500.3	612.1	332.3
ENSMUSG00000021180	291.3	280.8	282.1	342.7	332.3	320.8	289	292.1
ENSMUSG00000021250	78.9	78	80.5	74.9	71.3	71.6	69.4	77.7
ENSMUSG00000021313	76	73.1	77.7	72.3	65.2	67	75.1	72.4
ENSMUSG00000021536	683.3	843.4	743.9	717	805.7	859.2	735.4	827.2
ENSMUSG00000021820	1915.8	1949.3	1900	1914	1960.6	1950	1799.2	1718.3
ENSMUSG00000021933	41.9	43.9	45.8	43	46.7	42.9	48.3	52.6
ENSMUSG00000022220	270.3	246.4	272.1	242.7	285.9	286.2	270.8	290.7
ENSMUSG00000022376	39.8	43.8	37.7	43.9	36.7	44.9	39	41.6
ENSMUSG00000022416	48.2	44.9	41.8	43.6	49.5	39.2	44.2	46.5
ENSMUSG00000022840	105.8	80.8	83.9	82.2	81.3	80.2	77.3	87.2
ENSMUSG00000022994	292.3	330.3	296.6	304.2	269.7	296	268.6	298
ENSMUSG00000023439	105	115	112.9	115.5	100.8	112.3	117.6	117.7
ENSMUSG00000024112	100.5	103.7	105.6	91.3	107	100.8	101.8	103.5
ENSMUSG00000024256	44.3	46	48.8	44.5	42.6	39.8	46.9	42.3
ENSMUSG00000024617	718.9	722	675	694.2	719.4	687.1	658.5	634.6
ENSMUSG00000024639	488.6	527.3	454.4	491.6	508.4	479	437.8	444.1
ENSMUSG00000024960	300.1	314	300.1	286.8	284.4	307.8	273.8	288.8
ENSMUSG00000025739	64.7	61.4	68.4	60.5	61.9	57.4	65.2	65.1
ENSMUSG00000025892	46.9	43.4	43.8	46	35.8	39.6	37.7	34.4
ENSMUSG00000025958	469	515.6	426.6	445.2	482.1	444.6	403	461.7
ENSMUSG00000026567	32.9	30.8	32.6	33.2	30.9	32.3	30.4	32.6
ENSMUSG00000026824	78.5	76.3	77.3	80.6	69.2	73.2	70.5	65.4
ENSMUSG00000026959	97.4	94.6	93	90.4	84.3	77.5	79.5	75.8
ENSMUSG00000027523	1823.8	1861.1	1747.3	1785.5	1750.9	1866.4	1745.5	1722
ENSMUSG00000027669	210.4	273.7	219.7	206.6	201.7	196.3	193.4	230.1
ENSMUSG00000028957	211.4	350.9	498.5	357.1	201.4	477.4	469.3	324.5
ENSMUSG00000029064	2480.2	2338.5	2138.4	2087.8	2080.3	2033.5	1833.5	2078.4
ENSMUSG00000029334	40.7	46.3	47.6	43.8	43.3	53	45.9	48.9
ENSMUSG00000029361	608.9	635.8	548.8	609.5	637.7	814.7	553.6	563
ENSMUSG00000029663	30.4	27.8	29.7	28.7	28.3	32.1	35.1	26.7
ENSMUSG00000029713	951.2	874.3	897.9	874.2	958.3	888.9	891.1	889.2
ENSMUSG00000029778	141	172.6	151	151.7	126.5	128.4	124.6	136.1
ENSMUSG00000030102	293.4	295.4	232.5	240.2	277.2	279.1	211.3	242.7
ENSMUSG00000030209	48.4	45.4	46.1	48	41.2	44.4	46.4	47
ENSMUSG00000030592	8500.6	8846.2	8018.1	8876.3	8399.3	8938.1	7984.8	8433.1
ENSMUSG00000031659	237.6	187.2	188.5	162.1	240.7	166.1	152.1	190.4
ENSMUSG00000031748	472.7	481.9	460.3	478.1	372.4	389.9	328.8	382.9
ENSMUSG00000032034	43	42.9	40.9	41.8	40.8	45.2	43.8	43.5
ENSMUSG00000032192	302.1	312.5	280.6	286.1	284.5	303.2	238.2	293.8
ENSMUSG00000032246	72.5	74.7	87.9	77.7	77.8	77.5	79.2	63.6
ENSMUSG00000032562	1662.2	1425.9	1341	1298.6	1439.2	1329.7	1252.5	1346.3
ENSMUSG00000032766	62.9	74.5	62.1	58.7	63.4	71	62.8	62.8
ENSMUSG00000033765	80.1	81	79.7	79.5	88.9	79.9	85	76.5
ENSMUSG00000033981	38.6	39.7	39.1	42.1	30.8	32.4	35.6	30.3
ENSMUSG00000036402	1287.5	1270.8	1281.4	1184.6	1279.1	1304	1197.1	1164.6
ENSMUSG00000036438	1410.5	1648.4	1420.7	1567	1570.9	1479.9	1436.3	1462.7
ENSMUSG00000036438	2186.7	2470.4	2386.3	2494.7	2298.6	2136.1	2216.9	2228.9
ENSMUSG00000038026	42.6	43.8	46.6	39.1	40.1	36.6	39.3	39.4
ENSMUSG00000038473	121.4	100.9	107.8	115.8	100	111.2	108.4	118
ENSMUSG00000038811	50.1	48.3	42.2	48.9	53.8	47	46.8	45.9
ENSMUSG00000039943	608.3	608.1	601.3	605.7	632.9	590.3	558.7	561.5
ENSMUSG00000040061	78.5	52.2	46.7	52	78.8	49.1	46.9	51.7
ENSMUSG00000041624	260.9	326.4	259	272.1	238.7	312	248	283.4
ENSMUSG00000042644	226.4	179.3	206.8	163.4	244.7	189.8	189.9	191.6
ENSMUSG00000043301	33.5	32.5	34.7	35.3	32.3	32.4	35.2	33.8
ENSMUSG00000048240	126.7	134.9	136.3	128	121.8	130.4	135.2	134.6
ENSMUSG00000049892	90.5	67.9	89.7	83.9	98.4	87.5	98.3	83.3
ENSMUSG00000050901	76.4	74.6	86	83.3	82.3	82.2	84.4	87
ENSMUSG00000050965	1129.5	1198.6	987.2	1020.5	1153.3	1126.3	954.9	963.9
ENSMUSG00000051177	103.7	110.9	94.7	89.9	88.7	108	87.5	101.1
ENSMUSG00000051331	119.9	132.1	110.3	123.4	117.3	124.7	110.7	125.3
ENSMUSG00000052889	208.6	110.1	100.7	114.9	239.7	86.6	89.6	97.3
ENSMUSG00000052920	404.6	488.9	466.5	400.4	427.5	508.3	448.9	513.4
ENSMUSG00000053819	983.2	979.8	938	928.8	1035.8	963.7	898.4	923
ENSMUSG00000054764	27	26	27.2	27.3	25	29.3	26.8	27.8
ENSMUSG00000055866	163	183.4	406	314.1	164	205.7	376.7	244.5
ENSMUSG00000057378	63.7	66.7	73.6	73.9	63.7	69.6	73.2	67.1
ENSMUSG00000057614	231.9	170.9	140	143.5	167.3	146.4	119.5	165.4
ENSMUSG00000057897	1896.1	2021.4	1885.9	1932.2	1715.9	2052.2	1880.4	1914.2
ENSMUSG00000059003	31.5	32.6	31.8	34.5	30.7	30.8	30.7	34
ENSMUSG00000063065	577.5	590.8	508.8	542.3	522.6	560.4	480.6	543.1
ENSMUSG00000063130	43.9	43.4	47.8	52.2	47.5	49	46.9	50.6
ENSMUSG00000063358	1931.4	2040.1	1951.6	2094.1	2068.2	2008.3	1926.5	2007.7
ENSMUSG00000063594	46.1	50.3	45.2	41.8	45.2	39.6	47	43.2
ENSMUSG00000068523	2096.6	2090.1	1964.5	1983.4	2160.3	2167.4	2136.8	1957.6
ENSMUSG00000068523	246.2	205.2	190.4	187.5	204	251.9	199.6	194.5
ENSMUSG00000099269	26	25.5	26.2	28.3	28.5	23.7	28.6	27.8
