ID	ZT00	ZT03	ZT06	ZT09	ZT12	ZT15	ZT18	ZT21
FBgn0000008	7.372	2.778	4.852	5.215	9.32	5.757	7.119	4.281
FBgn0000008	5.533	4.663	2.769	7.086	4.115	5.024	8.958	6.904
FBgn0000014	0.358	0.056	0	0.072	3.509	0.039	0	0.016
FBgn0000015	0.135	0	0	0	0.015	4.928	1.598	0
FBgn0000015	0	1.347	0.102	0.036	0.101	3.954	0.011	0.047
FBgn0000015	0	1.501	0	4.581	0.129	0.015	0	0
FBgn0000015	0.145	1.67	0.016	0	0	0	5.202	0
FBgn0000017	27.914	29.567	32.36	1.812	32.154	34.597	30.238	9.128
FBgn0000017	29.258	27.273	31.754	34.245	30.974	1.756	8.847	29.026
FBgn0000017	1.739	8.881	31.183	26.89	28.535	33.372	29.134	30.93
FBgn0000018	8.109	6.079	6.383	5.919	4.577	6.931	6.577	9.079
FBgn0000024	32.828	44.343	10.498	9.148	46.199	43.57	38.413	33.101
FBgn0000024	33.857	43.077	10.178	5.132	34.183	41.531	37.999	48.056
FBgn0000028	3.737	3.447	3.792	3.736	3.175	3.572	3.35	0
FBgn0000028	4.396	4.385	0.711	3.955	4.216	3.801	3.641	2.998
FBgn0000028	3.635	3.285	3.715	3.088	3.634	3.352	3.474	0
FBgn0000028	3.53	3.693	3.337	3.137	3.65	0	3.774	3.406
FBgn0000032	9.793	11.627	10.215	9.397	7.596	8.722	8.819	8.861
FBgn0000032	9.535	10.279	8.973	9.771	7.384	8.945	9.142	11.832
FBgn0000038	95.619	105.025	53.853	99.8	88.196	5.126	95.357	110.028
FBgn0000042	572.885	726.213	617.033	752.29	1222.079	554.057	732.744	287.424
FBgn0000044	947.926	1316.067	878.275	704.812	1130.336	847.905	1183.742	505.29
FBgn0000045	71.467	147.185	28.325	35.489	24.019	36.64	40.372	33.205
FBgn0000045	24.982	152.109	42.009	36.596	29.743	34.703	38.475	73.891
FBgn0000047	1.848	0.972	1.232	2.098	2.121	1.793	3.051	39.189
FBgn0000052	156.077	56.566	124.523	91.674	406.402	34.06	120.493	642.916
FBgn0000052	638.884	155.132	123.824	91.135	56.209	33.846	403.864	119.771
FBgn0000052	56.328	156.299	645.806	34.029	407.788	92.018	120.647	124.636
FBgn0000055	6024.535	5116.658	6349.001	7983.841	2578.109	10028.175	10037.867	5317.077
FBgn0000056	6024.535	5317.077	10037.867	2578.109	6349.001	5116.658	10028.175	7983.841
FBgn0000056	12.978	14.421	22.982	6.159	13.761	17.963	20.36	21.055
FBgn0000057	25.287	22.158	26.51	23.619	23.321	14.585	24.428	20.361
FBgn0000061	0.809	0.428	0	0.532	0.287	0.797	0.478	0.401
FBgn0000063	3.125	3.443	3.241	3.578	3.862	2.077	2.528	3.187
FBgn0000064	860.876	951.787	351.534	875.249	779.57	968.861	992.519	801.366
FBgn0000064	816.723	843.997	674.164	691.793	739.91	855.425	323.611	780.033
FBgn0000064	1004.9	810.57	894.798	1037.82	305.406	992.283	843.83	919.892
FBgn0000064	929.296	840.911	877.851	961.792	974.029	368.952	786.697	764.957
FBgn0000064	1069.373	1207.539	982.512	1041.09	1156.158	942.936	1172.801	355.128
FBgn0000071	0.802	0.45	0	0	0.666	3.822	2.984	0.581
FBgn0000075	1.567	2.717	2.981	1.245	3.47	1.356	3.921	2.195
FBgn0000077	14.772	13.13	10.001	13.264	14.459	13.507	12.344	13.976
FBgn0000079	68.687	64.048	43.513	99.592	47.233	1087.787	95.275	60.885
FBgn0000083	276.204	236.434	268.359	330.697	276.102	258.201	265.112	309.872
FBgn0000083	301.427	282.336	244.805	241.807	215.222	235.252	251.332	251.716
FBgn0000083	232.673	255.656	228.96	277.459	212.602	192.709	223.172	223.454
FBgn0000084	116.208	133.4	117.161	112.378	126.214	143.47	115.723	79.7
FBgn0000092	6.614	3.849	3.095	0.818	1.334	2.994	2.97	4.255
FBgn0000094	0	0	0	628.98	0	0	0.603	0
FBgn0000097	12.301	11.342	8.679	9.528	9.751	10.392	8.306	3.674
FBgn0000097	11.995	9.913	10.931	10.298	12.183	9.21	4.139	9.22
FBgn0000108	95.885	3.518	39.527	112.486	99.86	135.281	78.688	113.743
FBgn0000108	124.333	100.549	147.07	103.224	3.738	81.074	122.69	10.945
FBgn0000108	104.54	101.336	3.796	82.033	123.583	125.746	11.124	147.226
FBgn0000109	16.112	15.496	22.223	14.829	44.312	26.459	18.855	17.818
FBgn0000114	14.774	77.781	15.647	3.481	16.806	16.606	15.936	17.009
FBgn0000114	14.223	61.269	13.512	12.616	6.569	15.261	13.841	13.968
FBgn0000114	17.426	5.707	61.902	15.122	17.728	17.717	17.009	15.764
FBgn0000114	16.475	18.938	19.113	18.884	18.171	70.408	4.335	16.972
FBgn0000116	607.153	375.711	582.692	608.801	585.332	352.487	707.114	651.086
FBgn0000116	558.288	930.987	560.576	894.285	1009.311	898.846	1077.318	937.551
FBgn0000116	390.112	664.151	636.867	662.83	640.289	413.054	712.741	776.098
FBgn0000120	3015.809	2248.255	2287.338	1987.514	1872.526	2.33	2965.292	2019.215
