# kegg circadian entrainment genes
#
Gene.Name	Gene.ID
Adcy1	ENSMUSG00000020431
Adcy10	ENSMUSG00000026567
Adcy2	ENSMUSG00000021536
Adcy3	ENSMUSG00000020654
Adcy4	ENSMUSG00000022220
Adcy5	ENSMUSG00000022840
Adcy6	ENSMUSG00000022994
Adcy7	ENSMUSG00000031659
Adcy8	ENSMUSG00000022376
Adcy9	ENSMUSG00000005580
Adcyap1	ENSMUSG00000024256
Adcyap1r1	ENSMUSG00000029778
Cacna1c	ENSMUSG00000051331
Cacna1d	ENSMUSG00000015968
Cacna1g	ENSMUSG00000020866
Cacna1h	ENSMUSG00000024112
Cacna1i	ENSMUSG00000022416
Calm1	ENSMUSG00000001175
Calm2	ENSMUSG00000036438
Calm3	ENSMUSG00000019370
Calm4	ENSMUSG00000033765
Calm5	ENSMUSG00000099269
Calml3	ENSMUSG00000063130
Calml4	ENSMUSG00000032246
Camk2a	ENSMUSG00000024617
Camk2b	ENSMUSG00000057897
Camk2d	ENSMUSG00000053819
Camk2g	ENSMUSG00000021820
Creb1	ENSMUSG00000025958
Fos	ENSMUSG00000021250
Gm5741	ENSMUSG00000095845
Gnai1	ENSMUSG00000057614
Gnai2	ENSMUSG00000032562
Gnai3	ENSMUSG00000000001
Gnao1	ENSMUSG00000031748
Gnaq	ENSMUSG00000024639
Gnas	ENSMUSG00000027523
Gnb1	ENSMUSG00000029064
Gnb2	ENSMUSG00000029713
Gnb3	ENSMUSG00000023439
Gnb4	ENSMUSG00000027669
Gnb5	ENSMUSG00000032192
Gng10	ENSMUSG00000038607
Gng11	ENSMUSG00000032766
Gng12	ENSMUSG00000036402
Gng13	ENSMUSG00000025739
Gng5	ENSMUSG00000068523
Gng5-ps	ENSMUSG00000082241
Gng7	ENSMUSG00000048240
Gng8	ENSMUSG00000063594
Gngt1	ENSMUSG00000029663
Gngt2	ENSMUSG00000038811
Gria1	ENSMUSG00000020524
Gria2	ENSMUSG00000033981
Gria3	ENSMUSG00000001986
Gria4	ENSMUSG00000025892
Grin1	ENSMUSG00000026959
Grin2a	ENSMUSG00000059003
Grin2b	ENSMUSG00000030209
Grin2c	ENSMUSG00000020734
Grin2d	ENSMUSG00000002771
Gucy1a2	ENSMUSG00000041624
Gucy1b2	ENSMUSG00000021933
Itpr1	ENSMUSG00000030102
Itpr3	ENSMUSG00000042644
Kcnj3	ENSMUSG00000026824
Kcnj5	ENSMUSG00000032034
Kcnj6	ENSMUSG00000043301
Kcnj9	ENSMUSG00000038026
Mapk1	ENSMUSG00000063358
Mapk3	ENSMUSG00000063065
Mtnr1a	ENSMUSG00000054764
Mtnr1b	ENSMUSG00000050901
Nos1	ENSMUSG00000029361
Nos1ap	ENSMUSG00000038473
Per1	ENSMUSG00000020893
Per2	ENSMUSG00000055866
Per3	ENSMUSG00000028957
Plcb1	ENSMUSG00000051177
Plcb2	ENSMUSG00000040061
Plcb3	ENSMUSG00000024960
Plcb4	ENSMUSG00000039943
Prkaca	ENSMUSG00000005469
Prkacb	ENSMUSG00000005034
Prkca	ENSMUSG00000050965
Prkcb	ENSMUSG00000052889
Prkcg	ENSMUSG00000078816
Prkcg	ENSMUSG00000097449
Prkg1	ENSMUSG00000052920
Prkg2	ENSMUSG00000029334
Rasd1	ENSMUSG00000049892
Rps6ka5	ENSMUSG00000021180
Ryr1	ENSMUSG00000030592
Ryr2	ENSMUSG00000021313
Ryr3	ENSMUSG00000057378
