ID	pvalue_mean	pvalue_brown	pvalue_fisher	pvalue_kost	pvalue_logitp	pvalue_sumlog	pvalue_sump	pvalue_sumz	algorithm
ENSMUSG00000000001	0.303602582359623	0.303602582359623	0.303602582359623	0.303602582359623	0.303602582359623	0.303602582359623	0.303602582359623	0.303602582359623	ARS
ENSMUSG00000001175	0.040955948311197	0.040955948311197	0.040955948311197	0.040955948311197	0.040955948311197	0.040955948311197	0.040955948311197	0.040955948311197	ARS
ENSMUSG00000001986	0.126776772711112	0.126776772711112	0.126776772711112	0.126776772711112	0.126776772711112	0.126776772711112	0.126776772711112	0.126776772711112	ARS
ENSMUSG00000002771	0.207453342252538	0.207453342252538	0.207453342252538	0.207453342252538	0.207453342252538	0.207453342252538	0.207453342252538	0.207453342252538	ARS
ENSMUSG00000005034	0.423700710642922	0.423700710642922	0.423700710642922	0.423700710642922	0.423700710642922	0.423700710642922	0.423700710642922	0.423700710642922	ARS
ENSMUSG00000005469	0.736946047573233	0.736946047573233	0.736946047573233	0.736946047573233	0.736946047573233	0.736946047573233	0.736946047573233	0.736946047573233	ARS
ENSMUSG00000005580	0.791917191475315	0.791917191475315	0.791917191475315	0.791917191475315	0.791917191475315	0.791917191475315	0.791917191475315	0.791917191475315	ARS
ENSMUSG00000015968	0.0184182780531332	0.0184182780531332	0.0184182780531332	0.0184182780531332	0.0184182780531332	0.0184182780531332	0.0184182780531332	0.0184182780531332	ARS
ENSMUSG00000019370	0.001190916286678	0.001190916286678	0.001190916286678	0.001190916286678	0.001190916286678	0.001190916286678	0.001190916286678	0.001190916286678	ARS
ENSMUSG00000020431	0.0584661233329196	0.0584661233329196	0.0584661233329196	0.0584661233329196	0.0584661233329196	0.0584661233329196	0.0584661233329196	0.0584661233329196	ARS
ENSMUSG00000020524	0.00517655928380756	0.00517655928380756	0.00517655928380756	0.00517655928380756	0.00517655928380756	0.00517655928380756	0.00517655928380756	0.00517655928380756	ARS
ENSMUSG00000020654	0.065750787644684	0.065750787644684	0.065750787644684	0.065750787644684	0.065750787644684	0.065750787644684	0.065750787644684	0.065750787644684	ARS
ENSMUSG00000020734	0.121895865256452	0.121895865256452	0.121895865256452	0.121895865256452	0.121895865256452	0.121895865256452	0.121895865256452	0.121895865256452	ARS
ENSMUSG00000020866	3.83599085629349e-06	3.83599085629349e-06	3.83599085629349e-06	3.83599085629349e-06	3.83599085629349e-06	3.83599085629349e-06	3.83599085629349e-06	3.83599085629349e-06	ARS
ENSMUSG00000020893	1.03160416986547e-07	1.03160416986547e-07	1.03160416986547e-07	1.03160416986547e-07	1.03160416986547e-07	1.03160416986547e-07	1.03160416986547e-07	1.03160416986547e-07	ARS
ENSMUSG00000021180	0.0990274877326012	0.0990274877326012	0.0990274877326012	0.0990274877326012	0.0990274877326012	0.0990274877326012	0.0990274877326012	0.0990274877326012	ARS
ENSMUSG00000021250	0.406535070569561	0.406535070569561	0.406535070569561	0.406535070569561	0.406535070569561	0.406535070569561	0.406535070569561	0.406535070569561	ARS
ENSMUSG00000021313	0.26585058686214	0.26585058686214	0.26585058686214	0.26585058686214	0.26585058686214	0.26585058686214	0.26585058686214	0.26585058686214	ARS
ENSMUSG00000021536	0.00396192112874494	0.00396192112874494	0.00396192112874494	0.00396192112874494	0.00396192112874494	0.00396192112874494	0.00396192112874494	0.00396192112874494	ARS
ENSMUSG00000021820	0.000744362051728009	0.000744362051728009	0.000744362051728009	0.000744362051728009	0.000744362051728009	0.000744362051728009	0.000744362051728009	0.000744362051728009	ARS
ENSMUSG00000021933	0.462326675937637	0.462326675937637	0.462326675937637	0.462326675937637	0.462326675937637	0.462326675937637	0.462326675937637	0.462326675937637	ARS
ENSMUSG00000022220	0.776837269629559	0.776837269629559	0.776837269629559	0.776837269629559	0.776837269629559	0.776837269629559	0.776837269629559	0.776837269629559	ARS
ENSMUSG00000022376	0.0430627661133378	0.0430627661133378	0.0430627661133378	0.0430627661133378	0.0430627661133378	0.0430627661133378	0.0430627661133378	0.0430627661133378	ARS
ENSMUSG00000022416	0.701366104923704	0.701366104923704	0.701366104923704	0.701366104923704	0.701366104923704	0.701366104923704	0.701366104923704	0.701366104923704	ARS
ENSMUSG00000022840	0.097522409528933	0.097522409528933	0.097522409528933	0.097522409528933	0.097522409528933	0.097522409528933	0.097522409528933	0.097522409528933	ARS
ENSMUSG00000022994	0.733477549126898	0.733477549126898	0.733477549126898	0.733477549126898	0.733477549126898	0.733477549126898	0.733477549126898	0.733477549126898	ARS
ENSMUSG00000023439	0.292239083490183	0.292239083490183	0.292239083490183	0.292239083490183	0.292239083490183	0.292239083490183	0.292239083490183	0.292239083490183	ARS
ENSMUSG00000024112	0.857574108540851	0.857574108540851	0.857574108540851	0.857574108540851	0.857574108540851	0.857574108540851	0.857574108540851	0.857574108540851	ARS
ENSMUSG00000024256	0.0665360637686921	0.0665360637686921	0.0665360637686921	0.0665360637686921	0.0665360637686921	0.0665360637686921	0.0665360637686921	0.0665360637686921	ARS
