ID	raw.pvalue	default.pvalue	period	phase	amplitude
ENSMUSG00000030751	0.00456671735282	0.126873126873	24	22	9.1
ENSMUSG00000029446	0.00686212476666	0.177822177822	24	10	10.9
ENSMUSG00000030967	0.0529341399064	0.67032967033	24	20	729.9
ENSMUSG00000032112	0.0505822358957	0.662337662338	24	22	153.1
ENSMUSG00000079477	0.0983496198889	0.872127872128	24	6	265.4
ENSMUSG00000020936	0.031250819114	0.51048951049	24	10	626.4
ENSMUSG00000071415	0.0455453342438	0.631368631369	24	8	50.7
ENSMUSG00000028646	0.011483852877	0.256743256743	24	18	520.1
ENSMUSG00000055204	0.00381270555834	0.112887112887	24	10	399.1
ENSMUSG00000022193	0.0612756889105	0.715284715285	24	20	927.5
ENSMUSG00000008855	0.0354863997792	0.545454545455	24	4	120.7
ENSMUSG00000029234	0.0443729040105	0.617382617383	24	10	20.8
ENSMUSG00000025261	0.034964025382	0.545454545455	24	10	220.3
ENSMUSG00000003346	0.058614209437	0.698301698302	24	18	237.6
ENSMUSG00000070733	0.000570466111286	0.024975024975	24	14	77.4
ENSMUSG00000020794	0.0793250551595	0.808191808192	24	4	575.3
ENSMUSG00000021266	0.0160319103553	0.330669330669	24	20	339.9
ENSMUSG00000025156	0.0185173980719	0.353646353646	24	18	300.3
ENSMUSG00000030751	0.0260768936294	0.454545454545	24	16	862
ENSMUSG00000067851	0.112606063659	0.914085914086	24	14	22
ENSMUSG00000029446	0.0239760914761	0.420579420579	24	10	11.5
ENSMUSG00000026553	0.00281222186047	0.0849150849151	24	10	661
ENSMUSG00000022100	0.013821499168	0.296703296703	24	6	26.4
ENSMUSG00000028677	0.000809744421251	0.031968031968	24	8	193.2
ENSMUSG00000037373	0.0157109680847	0.322677322677	24	20	260.5
ENSMUSG00000027828	0.00180075162881	0.0639360639361	24	22	97.4
ENSMUSG00000005442	0.0172388871616	0.338661338661	24	2	43.1
ENSMUSG00000040688	0.144302541116	0.964035964036	24	18	183.5
ENSMUSG00000028759	0.0505822358957	0.662337662338	24	8	138.5
ENSMUSG00000025261	0.0102842039854	0.245754245754	24	8	542.7
ENSMUSG00000026553	0.0423204618779	0.602397602398	24	16	21.8
ENSMUSG00000018585	0.0078352218124	0.200799200799	24	6	422.5
ENSMUSG00000026878	0.0476996618063	0.642357642358	24	18	39.9
ENSMUSG00000020936	0.08702857063	0.843156843157	24	10	280.4
ENSMUSG00000067851	0.0117419096527	0.260739260739	24	2	580
ENSMUSG00000014355	0.0160365759378	0.330669330669	24	6	29.7
ENSMUSG00000025224	0.0654816988615	0.752247752248	24	2	25.4
ENSMUSG00000022100	0.0593022932511	0.709290709291	24	0	532.4
ENSMUSG00000025224	0.00290096025109	0.0869130869131	24	4	27.4
ENSMUSG00000025261	0.00849599441162	0.215784215784	24	2	381.7
ENSMUSG00000025224	0.0124004442274	0.272727272727	24	12	659.2
ENSMUSG00000008855	0.00591475928986	0.154845154845	24	6	85.3
ENSMUSG00000022770	0.0811758095959	0.808191808192	24	10	13.5
ENSMUSG00000034820	0.0505822358957	0.662337662338	24	14	299
ENSMUSG00000022770	0.20939473758	0.996003996004	24	18	1196.5
ENSMUSG00000028759	0.058614209437	0.698301698302	24	18	826.3
ENSMUSG00000025224	0.0121313431312	0.265734265734	24	20	49.3
ENSMUSG00000005442	0.0064725497543	0.163836163836	24	8	156.5
ENSMUSG00000071415	0.133144070779	0.952047952048	24	14	81.1
ENSMUSG00000008855	0.031250819114	0.51048951049	24	0	360.4
ENSMUSG00000030058	0.00740215424095	0.184815184815	24	16	780.6
ENSMUSG00000026878	0.0205446750375	0.38961038961	24	6	86.2
ENSMUSG00000008855	0.0626836614271	0.734265734266	24	2	261.5
ENSMUSG00000001158	0.0793250551595	0.808191808192	24	4	250.7
ENSMUSG00000015341	0.00929096192321	0.230769230769	24	12	12.8
ENSMUSG00000001289	0.0224132234705	0.404595404595	24	4	388.1
ENSMUSG00000026965	0.0560629294766	0.692307692308	24	0	21
ENSMUSG00000008855	0.00175049493388	0.0609390609391	24	16	163.6
ENSMUSG00000068328	0.02928387041	0.494505494505	24	6	1002.4
ENSMUSG00000005442	0.010868624632	0.252747252747	24	8	232.1
ENSMUSG00000040688	0.0163547757957	0.331668331668	24	2	444.4
ENSMUSG00000008855	0.00626810236879	0.15984015984	24	10	127.6
ENSMUSG00000022898	0.000416434847073	0.015984015984	24	8	195.9
ENSMUSG00000025224	0.061980510213	0.729270729271	24	8	1115.6
ENSMUSG00000005442	0.00928854983961	0.230769230769	24	12	47.5
ENSMUSG00000020459	0.175383497201	0.99000999001	24	10	147.6
ENSMUSG00000034820	0.017817847894	0.342657342657	24	12	132.6
ENSMUSG00000029405	0.175396570589	0.99000999001	24	0	109.1
ENSMUSG00000037373	0.0361446118862	0.548451548452	24	22	34.2
ENSMUSG00000038160	0.0948754671998	0.865134865135	24	4	52.6
ENSMUSG00000093575	0.0366829096051	0.565434565435	24	12	165.3
ENSMUSG00000005442	0.0323069381808	0.513486513487	24	22	85.5
ENSMUSG00000021266	0.0560531913986	0.692307692308	24	18	602.2
ENSMUSG00000008855	0.01690320071	0.332667332667	24	18	454.6
ENSMUSG00000026810	0.0752904863792	0.797202797203	24	22	364.7
ENSMUSG00000021282	0.0862235522694	0.833166833167	24	14	432.1
ENSMUSG00000027598	0.024374796196	0.428571428571	24	14	691.9
ENSMUSG00000015341	0.0785593454713	0.805194805195	24	14	45.8
ENSMUSG00000005982	0.0078352218124	0.200799200799	24	10	998.7
ENSMUSG00000026553	0.144317317408	0.964035964036	24	22	812.9
ENSMUSG00000041645	0.0640549690675	0.734265734266	24	8	43.2
ENSMUSG00000067851	0.069947215839	0.764235764236	24	18	7.7
ENSMUSG00000029405	0.000316398270226	0.010989010989	24	14	31.9
ENSMUSG00000024309	0.00950420479882	0.236763236763	24	22	596.5
ENSMUSG00000025224	0.0261044496622	0.454545454545	24	4	5.8
ENSMUSG00000078552	0.0554099276372	0.683316683317	24	4	40.6
ENSMUSG00000008855	0.0130931159927	0.280719280719	24	20	276.4
ENSMUSG00000024414	0.031250819114	0.51048951049	24	10	400.4
ENSMUSG00000001016	0.0382171738487	0.565434565435	24	6	46.8
ENSMUSG00000007036	0.0064725497543	0.163836163836	24	12	58.2
ENSMUSG00000029234	0.033946472054	0.528471528472	24	10	9.1
